Type,Date,Name,Sex,Country_killed,Organization,Nationality,Medium,Job,Coverage,Freelance,Local_Foreign,Source_fire,Type_death,Impunity_for_murder,Taken_captive,Threatened,Tortured
Motive Confirmed,9-Nov-04,María José Bravo,Female,Nicaragua,La Prensa,Nicaragua,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,No,No,No,"No
"
Motive Confirmed,7-Nov-04,Antoine Massé,Male,Ivory Coast,Le Courrier d'Abidjan,Ivory Coast,Print,Print Reporter,Human Rights,No,Local,Military Officials,Dangerous Assignment,,No,No,"No
"
Motive Confirmed," November, 2004",Wadallah Sarhan,Male,Iraq,Akhbar al-Mosul,Iraq,Print,Editor,,No,Local,Political Group,Murder,Yes,No,No,"No
"
Motive Confirmed,1-Nov-04,Dhia Najim,Male,Iraq,freelance,Iraq,Television,Camera Operator,War,Yes,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,19-Oct-04,Eldy Sablas (aka Eldy Gabinales),Male,Philippines,Radio DXJR-FM,Philippines,Radio,Broadcast,Crime,No,Local,Criminal Group,Murder,Yes,No,No,"No
"
Motive Confirmed,14-Oct-04,Dina Mohammed Hassan,Male,Iraq,Al-Hurriya,Iraq,Television,Broadcast,"Culture, Politics, War",No,Local,Political Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,14-Oct-04,Karam Hussein,Male,Iraq,European Pressphoto Agency,Iraq,Print,Photographer,War,No,Local,Political Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,29-Sep-04,Romeo (or Romy) Binungcal,Male,Philippines,Remate and Bulgar,Philippines,Print,Print Reporter,Corruption,No,Local,Government Officials,Murder,Yes,No,No,"No
"
Motive Confirmed,14-Sep-04,Juan Emilio Andújar Matos,Male,Dominican Republic,Radio Azua and Listín Diario,Dominican Republic,Radio,Broadcast,Crime,No,Local,Criminal Group,Murder,No,No,Yes,"No
"
Motive Confirmed,12-Sep-04,Mazen al-Tumeizi,Male,Iraq,Al-Arabiya,Iraq,Television,Broadcast,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,31-Aug-04,Francisco Arratia Saldierna,Male,Mexico,freelance,Mexico,Internet,Columnist,"Corruption, Crime",No,Local,Criminal Group,Murder,Yes,Yes,No,"Yes
"
Motive Confirmed,26-Aug-04,Enzo Baldoni,Male,Iraq,freelance,Italy,Print,Print Reporter,War,Yes,Foreign,Political Group,Murder,Yes,Yes,No,"No
"
Motive Confirmed,22-Aug-04,Kamal Hossain,Male,Bangladesh,Ajker Kagoj,Bangadesh,Print,Print Reporter,Crime,No,Local,Criminal Group,Murder,Yes,Yes,Yes,"No
"
Motive Confirmed,16-Aug-04,Bala Nadarajah Iyer,Male,Sri Lanka,Thinamurasu and Thinakaran,Sri Lanka,Print,Print Reporter,"Human Rights, Politics",No,Local,Political Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,15-Aug-04,Mahmoud Hamid Abbas,Male,Iraq,Zweites Deutsches Fernsehen,Iraq,Television,Camera Operator,War,No,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,11-Aug-04,Dekendra Raj Thapa,Male,Nepal,Radio Nepal,Nepal,Radio,Broadcast,"Human Rights, Politics",No,Local,Political Group,Murder,Partial,Yes,No,"No
"
Motive Confirmed,5-Aug-04,Arnnel Manalo,Male,Philippines,Bulgar and DZRH Radio,Philippines,Radio,Print Reporter,"Corruption, Politics",No,Local,Government Officials,Murder,Yes,No,No,"No
"
Motive Confirmed,31-Jul-04,"Rogelio \Roger\"" Mariano""",Male,Philippines,Radyo Natin-Aksyon Radyo,Philippines,Radio,Columnist,"Corruption, Crime",No,Local,Government Officials,Murder,Yes,No,No,"No
"
Motive Confirmed,9-Jul-04,Paul Klebnikov,Male,Russia,Forbes Russia,United States,Print,Editor,"Business, Corruption, Crime",No,Foreign,Criminal Group,Murder,Yes,No,No,"No
"
Motive Confirmed,27-Jun-04,Humayun Kabir,Male,Bangladesh,Janmabhumi,Bangladesh,Print,Editor,"Corruption, Crime",No,Local,Political Group,Murder,Partial,No,Yes,"No
"
Motive Confirmed,22-Jun-04,Francisco Javier Ortiz Franco,Male,Mexico,Zeta,Mexico,Print,Editor,Crime,No,Local,Criminal Group,Murder,Yes,No,No,"No
"
Motive Confirmed,17-Jun-04,Elpidio Binoya,Male,Philippines,Radyo Natin,Philippines,Radio,Columnist,"Corruption, Politics",No,Local,Government Officials,Murder,Yes,No,Yes,"Yes
"
Motive Confirmed,6-Jun-04,Simon Cumbers,Male,Saudi Arabia,BBC,Ireland,Television,Camera Operator,Politics,Yes,Foreign,Political Group,Murder,Partial,No,No,"No
"
Motive Confirmed,31-May-04,Aiyathurai Nadesan,Male,Sri Lanka,Virakesari,Sri Lanka,Print,Print Reporter,"Corruption, Human Rights, Politics",No,Local,Military Officials,Murder,Yes,No,Yes,"No
"
Motive Confirmed,28-May-04,Dusko Jovanovic,Male,Serbia,Dan,Serbia/Montenegro,Print,Editor,"Crime, Politics",No,Local,Government Officials,Murder,Partial,No,Yes,"No
"
Motive Confirmed,27-May-04,Shinsuke Hashida,Male,Iraq,freelance,Japan,Print,Print Reporter,War,Yes,Foreign,Political Group,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,27-May-04,Kotaro Ogawa,Male,Iraq,freelance,Japan,Print,Print Reporter,War,Yes,Foreign,Political Group,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,21-May-04,Rashid Hamid Wali,Male,Iraq,Al-Jazeera,Iraq,Television,Camera Operator,War,No,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,9-May-04,Adlan Khasanov,Male,Russia,Reuters,Russia,Television,Camera Operator,"Politics, War",No,Local,Political Group,Dangerous Assignment,,No,No,"No
"
Motive Confirmed,7-May-04,Waldemar Milewicz,Male,Iraq,TVP,Poland,Television,Broadcast,War,No,Foreign,Political Group,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,7-May-04,Mounir Bouamrane,Male,Iraq,TVP,Iraq,Television,Broadcast,War,No,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,24-Apr-04,José Carlos Araújo,Male,Brazil,Rádio Timbaúba FM,Brazil,Radio,Broadcast,"Corruption, Crime, Human Rights",No,Local,Criminal Group,Murder,Yes,No,No,"No
"
Motive Confirmed,20-Apr-04,Samuel Romã,Male,Brazil,Radio Conquista FM,Brazil,Radio,Columnist,"Corruption, Crime, Politics",No,Local,Government Officials,Murder,No,No,No,"No
"
Motive Confirmed,20-Apr-04,Asiya Jeelani,Female,India,freelance,India,Print,Print Reporter,Human Rights,Yes,Local,Political Group,Dangerous Assignment,,No,No,"No
"
Motive Confirmed,19-Apr-04,Asaad Kadhim,Male,Iraq,Al-Iraqya TV,Iraq,Television,Broadcast,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,12-Apr-04,Alberto Rivera Fernández,Male,Peru,Frecuencia Oriental,Peru,Radio,Broadcast,"Corruption, Politics",No,Local,Government Officials,Murder,Partial,No,Yes,"No
"
Motive Confirmed,26-Mar-04,Burhan Mohamed Mazhour,Male,Iraq,ABC,Iraq,Television,Camera Operator,War,Yes,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,22-Mar-04,Mohamed Abu Halima,Male,Israel and the Occupied Palestinian Territory,Al-Najah,Israel Occupied,Radio,Broadcast,Human Rights,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,19-Mar-04,Ali al-Khatib,Male,Iraq,Al-Arabiya,UAE,Television,Broadcast,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,18-Mar-04,Ali Abdel Aziz,Male,Iraq,Al-Arabiya,Iraq,Television,Camera Operator,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,18-Mar-04,Nadia Nasrat,Female,Iraq,Iraq Media Network/Diyala TV,Iraq,Television,Broadcast,War,No,Local,Political Group,Murder,Yes,No,No,"No
"
Motive Confirmed,7-Mar-04,Ricardo Ortega,Male,Haiti,Antena 3,Haiti,Television,Broadcast,Human Rights,No,Local,Political Group,Dangerous Assignment,,No,No,"No
"
Motive Confirmed,21-Feb-04,Veeraboina Yadagiri,Male,India,Andhra Prabha,India,Print,Print Reporter,"Corruption, Crime",No,Local,Criminal Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,14-Feb-04,Antonio de la Torre Echeandía,Male,Peru,Radio Órbita ,Peru,Radio,Broadcast,"Crime, Politics",No,Local,Government Officials,Murder,Yes,No,Yes,"No
"
Motive Confirmed,11-Feb-04,Rowell Endrinal,Male,Philippines,DZRC,Philippines,Radio,Columnist,"Crime, Politics",No,Local,Criminal Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,10-Feb-04,Carlos José Guadamuz,Male,Nicaragua,Canal 23,Nicaragua,Television,Broadcast,Politics,No,Local,Local Residents,Murder,Yes,No,No,"No
"
Motive Confirmed,7-Feb-04,Martín La Rotta,Male,Colombia,La Palma Estéreo,Colombia,Radio,Columnist,Politics,No,Local,Local Residents,Murder,Yes,No,No,"No
"
Motive Confirmed,1-Feb-04,Abdel Sattar Abdel Karim,Male,Iraq,Al Ta'akhy,Iraq,Print,Photographer,"Culture, Sports",Yes,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,1-Feb-04,Semko Karim Mohyideen,Male,Iraq,freelance,Iraq,Television,Camera Operator,Culture,Yes,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,1-Feb-04,Gharib Mohamed Salih,Male,Iraq,Kurdistan TV,Iraq,Television,Camera Operator,"Culture, Sports",Yes,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,1-Feb-04,Ayoub Mohamed,Male,Iraq,Kurdistan TV,Iraq,Television,Camera Operator,"Culture, Sports",Yes,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,1-Feb-04,Haymin Mohamed Salih,Male,Iraq,Qulan TV,Iraq,Television,Camera Operator,"Culture, Sports",No,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,1-Feb-04,Safir Nader,Male,Iraq,Qulan TV,Iraq,Television,Camera Operator,"Culture, Sports",No,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,29-Jan-04,Sajid Tanoli,Male,Pakistan,Shumal,Pakistan,Print,Print Reporter,Corruption,No,Local,Government Officials,Murder,Yes,No,No,"No
"
Motive Confirmed,27-Jan-04,Duraid Isa Mohammed,Male,Iraq,CNN,Iraq,Television,Producer,War,No,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,15-Jan-04,Manik Saha,Male,Bangladesh,New Age,Bangladesh,Print,Print Reporter,"Crime, Politics",No,Local,Political Group,Murder,Partial,No,Yes,"No
"
Motive Confirmed,29-Dec-03,Ersa Siregar,Male,Indonesia,Rajawali Citra Televisi,Indonesia,Television,Broadcast,War,No,Local,Military Officials,Crossfire/Combat-Related,,Yes,No,"No
"
Motive Confirmed,28-Nov-03,Dmitry Zavadsky,Male,Belarus,ORT,Belarus,Television,Camera Operator,War,No,Local,Government Officials,Murder,Yes,Yes, Yes,"No
"
Motive Confirmed,28-Oct-03,Ahmed Shawkat,Male,Iraq,Bilah Ittijah,Iraq,Print,Editor,"Politics, War",No,Local,Political Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,21-Oct-03,Jean Hélène,Male,Ivory Coast,Radio France Internationale,France,Radio,Broadcast,Human Rights,No,Foreign,Military Officials,Murder,No,No,No,"No
"
Motive Confirmed,18-Oct-03,Chou Chetharith,Male,Cambodia,Ta Prum,Cambodia,Radio,Producer,Politics,No,Local,Government Officials,Murder,Yes,No,No,"No
"
Motive Confirmed,9-Oct-03,Aleksei Sidorov,Male,Russia,Tolyatinskoye Obozreniye,Russia,Print,Editor,"Business, Corruption, Crime, Politics",No,Local,Criminal Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,7-Sep-03,Gyanendra Khadka,Male,Nepal,Rastriya Samachar Samiti,Nepal,Print,Print Reporter,,No,Local,Political Group,Murder,Yes,Yes,No,"No
"
Motive Confirmed,6-Sep-03,Satoru Someya,Male,Japan,freelance,Japan,Print,Print Reporter,Crime,Yes,Local,Local Residents,Murder,No,Yes,No,"No
"
Motive Confirmed,6-Sep-03,"Juan \Jun\"" Pala""",Male,Philippines,DXGO Radio,Philippines,Radio,Columnist,"Corruption, Politics",No,Local,Political Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,25-Aug-03,Ahmad Kareem,Male,Iraq,Kurdistan TV,Iraq,Television,Producer,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,22-Aug-03,Juan Carlos Benavides Arévalo,Male,Colombia,Manantial Estéreo,Colombia,Radio,Broadcast,Politics,No,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,20-Aug-03,Rico Ramirez,Male,Philippines,DXSF Radio,Philippines,Radio,Broadcast,"Corruption, Crime",No,Local,Criminal Group,Murder,Yes,Yes,No,"No
"
Motive Confirmed,19-Aug-03,Noel Villarante,Male,Philippines,DZJV Radio and Laguna Score,Philippines,Radio,Print Reporter,"Corruption, Crime",No,Local,Government Officials,Murder,Yes,No,Yes,"No
"
Motive Confirmed,17-Aug-03,Mazen Dana,Male,Iraq,Reuters,Palestinian Territory,Television,Camera Operator,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,24-Jul-03,Héctor Ramírez,Male,Guatemala,Noti7 and Radio Sonora,Guatemala,Television,Broadcast,Politics,No,Local,Mob Violence,Dangerous Assignment,,No,No,"No
"
Motive Confirmed,23-Jul-03,Luiz Antônio da Costa,Male,Brazil,Época,Brazil,Print,Photographer,Human Rights,No,Local,Criminal Group,Murder,Yes,No,No,"No
"
Motive Confirmed,10-Jul-03,Zahra Kazemi,Female,Iran,freelance,Canada,Print,Photographer,Human Rights,Yes,Foreign,Government Officials,Murder,Yes,Yes,No,"Yes
"
Motive Confirmed,8-Jul-03,Bonifacio Gregorio,Male,Philippines,Dyaryo Banat,Philippines,Print,Columnist,Corruption,No,Local,Government Officials,Murder,Yes,No,No,"No
"
Motive Confirmed,6-Jul-03,Jeremy Little,Male,Iraq,NBC News,Australia,Television,Technician,War,Yes,Foreign,Political Group,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,5-Jul-03,Richard Wild,Male,Iraq,freelance,United Kingdom,Television,Camera Operator,War,Yes,Foreign,Unknown Fire,Murder,Yes,No,No,"No
"
Motive Confirmed,3-Jul-03,Yuri Shchekochikhin,Male,Russia,Novaya Gazeta,Russia,Print,Editor,"Corruption, Human Rights, War",No,Local,Government Officials,Murder,Yes,No,Yes,"No
"
Motive Confirmed,30-Jun-03,Nicanor Linhares Batista,Male,Brazil,Rádio Vale do Jaguaribe,Brazil,Radio,Columnist,Corruption,No,Local,Government Officials,Murder,Partial,No,Yes,"No
"
Motive Confirmed,17-May-03,"Apolinario \Polly\"" Pobeda""",Male,Philippines,DWTI Radio,Philippines,Radio,Columnist,"Corruption, Crime",No,Local,Government Officials,Murder,Yes,No,Yes,"No
"
Motive Confirmed,2-May-03,James Miller,Male,Israel and the Occupied Palestinian Territory,freelance,United Kingdom,Television,Camera Operator,"Human Rights, War",Yes,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,29-Apr-03,Jaime Rengifo Revero,Male,Colombia,Olímpica Radio,Colombia,Radio,Broadcast,"Corruption, Human Rights",No,Local,Government Officials,Murder,Yes,No,Yes,"No
"
Motive Confirmed,28-Apr-03,Guillermo Bravo Vega,Male,Colombia,Alpevisión Radio,Colombia,Radio,Broadcast,"Corruption, Crime",No,Local,Government Officials,Murder,Yes,No,Yes,"No
"
Motive Confirmed,19-Apr-03,Nazih Darwazeh,Male,Israel and the Occupied Palestinian Territory,APTN,Israel Occupied,Television,Camera Operator,"Human Rights, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,8-Apr-03,Taras Protsyuk,Male,Iraq,Reuters,Iraq,Television,Camera Operator,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,8-Apr-03,José Couso,Male,Iraq,Telecinco,Spain,Television,Camera Operator,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,8-Apr-03,Tareq Ayyoub,Male,Iraq,Al-Jazeera,Jordan,Television,Broadcast,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,7-Apr-03,Christian Liebig,Male,Iraq,Focus,Germany,Print,Print Reporter,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,7-Apr-03,Julio Anguita Parrado,Male,Iraq,El Mundo,Spain,Print,Print Reporter,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,6-Apr-03,José Emeterio Rivas,Male,Colombia,Radio Calor Estéreo,Colombia,Radio,Columnist,"Corruption, Politics",No,Local,"Government Officials, Paramilitary Group",Murder,No,No,Yes,"No
"
Motive Confirmed,3-Apr-03,Michael Kelly,Male,Iraq,Atlantic Monthly and The Washington Post,United States,Print,Columnist,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,2-Apr-03,Kaveh Golestan,Male,Iraq,freelance,Iran,Television,Camera Operator,War,Yes,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,22-Mar-03,Paul Moran,Male,Iraq,freelance,Australia,Television,Camera Operator,War,Yes,Foreign,Political Group,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,22-Mar-03,Terry Lloyd,Male,Iraq,ITV News,United Kingdom,Television,Broadcast,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,18-Mar-03,Luis Eduardo Alfonso Parada,Male,Colombia,Radio Meridiano-70,Colombia,Radio,Print Reporter,"Corruption, Human Rights, Politics, War",No,Local,Paramilitary Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,31-Jan-03,Parvaz Mohammed Sultan,Male,India,News and Feature Alliance,India,Print,Editor,Politics,No,Local,Unknown Fire,Murder,Yes,No,No,"No
"
Motive Confirmed,30-Jan-03,Dhan Bahadur Rokka Magar,Male,Nepal,Radio Nepal,Nepal,Radio,Broadcast,,No,Local,Political Group,Murder,Yes,Yes,No,"No
"
Motive Confirmed,24-Jan-03,Abdullahi Madkeer,Male,Somalia,DMC Radio,Somalia,Radio,Broadcast,Politics,No,Local,Paramilitary Group,Dangerous Assignment,,No,No,"No
"
Motive Confirmed,21-Jan-03,Fazal Wahab,Male,Pakistan,freelance,Pakistan,Print,Columnist,Politics,Yes,Local,Political Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,21-Nov-02,Ram Chander Chaterpatti,Male,India,Poora Sach,India,Print,Editor,Crime,No,Local,Political Group,Murder,Yes,No,No ,"No
"
Motive Confirmed,20-Oct-02,Shahid Soomro,Male,Pakistan,Kawish,Pakistan,Print,Print Reporter,Human Rights,No,Local,Government Officials,Murder,Yes,No,No,"No
"
Motive Confirmed,30-Sep-02,Domingos Sávio Brandão Lima Júnior,Male,Brazil,Folha do Estado,Brazil,Print,Columnist,"Corruption, Crime, Politics",No,Local,Criminal Group,Murder,No,No,No,"No
"
Motive Confirmed,26-Sep-02,Roddy Scott,Male,Russia,Frontline,United Kingdom,Television,Camera Operator,War,Yes,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,22-Sep-02,Issam Tillawi,Male,Israel and the Occupied Palestinian Territory,Voice of Palestine,Palestinian Territory,Radio,Broadcast,Human Rights,No,Local,Military Officials,Dangerous Assignment,,No,No,"No
"
Motive Confirmed,22-Aug-02,Sonny Alcantara,Male,Philippines,"\Quo Vadis San Pablo\"" and Kokus""",Philippines,Television,Broadcast,Corruption,No,Local,Government Officials,Murder,Yes,No,No,"No
"
Motive Confirmed,12-Jul-02,Imad Abu Zahra,Male,Israel and the Occupied Palestinian Territory,freelance,Palestinian Territory,Print,Photographer,War,Yes,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,5-Jul-02,Shukur Hossain,Male,Bangladesh,Anirban,Bangladesh,Print,Print Reporter,"Corruption, Crime",No,Local,Political Group,Murder,Yes,,,"No
"
Motive Confirmed,28-Jun-02,Efraín Varela Noriega,Male,Colombia,Radio Meridiano-70,Colombia,Radio,Columnist,Human Rights,No,Local,Paramilitary Group,Murder,Partial,No,Yes,"No
"
Motive Confirmed,Date unknown in 2002,Daniel Pearl,Male,Pakistan,The Wall Street Journal,United States,Print,Print Reporter,Politics,No,Foreign,Political Group,Murder,Partial,Yes,No,"Yes
"
Motive Confirmed,3-Jun-02,Tim Lopes,Male,Brazil,TV Globo,Brazil,Television,Broadcast,Crime,No,Local,Criminal Group,Murder,No,Yes,No,"Yes
"
Motive Confirmed,1-Jun-02,Nava Raj Sharma,Male,Nepal,Kadam,Nepal,Print,Editor,"Culture, Human Rights, Politics, War",No,Local,Political Group,Murder,Yes,,No,"No
"
Motive Confirmed,13-May-02,Edgar Damalerio,Male,Philippines,Zamboanga Scribe and DXKP Radio,Philippines,Radio,Columnist,"Corruption, Crime",No,Local,Government Officials,Murder,Partial,No,No,"No
"
Motive Confirmed,29-Apr-02,Valery Ivanov,Male,Russia,Tolyatinskoye Obozreniye,Russia,Print,Editor,"Corruption, Crime",No,Local,Criminal Group,Murder,Yes,No,No,"No
"
Motive Confirmed,12-Apr-02,Héctor Sandoval,Male,Colombia,RCN Televisión,Colombia,Television,Camera Operator,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,11-Apr-02,Jorge Ibraín Tortoza Cruz,Male,Venezuela,2001,Venezuela,Print,Photographer,Human Rights,No,Local,Military Officials,Dangerous Assignment,,No,No,"No
"
Motive Confirmed,13-Mar-02,Raffaele Ciriello,Male,Israel and the Occupied Palestinian Territory,Freelancer,Italy,Print,Photographer,War,Yes,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,9-Mar-02,Natalya Skryl,Female,Russia,Nashe Vremya,Russia,Print,Print Reporter,"Business, Corruption",No,Local,Unknown Fire,Murder,Yes,No,No,"No
"
Motive Confirmed,2-Mar-02,Harunur Rashid,Male,Bangladesh,Dainik Purbanchal,Bangladesh,Print,Print Reporter,"Corruption, Crime",No,Local,Political Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,1-Feb-02,Orlando Sierra Hernández,Male,Colombia,La Patria,Colombia,Print,Columnist,Crime,No,Local,Government Officials,Murder,No,No,Yes,"No
"
Motive Confirmed,12-Jan-02,Jimmy Higenyi,Male,Uganda,United Media Consultants and Trainers,Uganda,Print,Print Reporter,Human Rights,No,Local,Military Officials,Dangerous Assignment,,No,No,"No
"
Motive Confirmed,3-Dec-01,Brignol Lindor,Male,Haiti,Radio Echo 2000,Haiti,Radio,Columnist,"Human Rights, Politics",No,Local,Political Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,28-Nov-01,Gundars Matiss,Male,Latvia,Kurzeme Vards,Latvia,Print,Print Reporter,Crime,No,Local,Criminal Group,Murder,Partial,No,No,"No
"
Motive Confirmed,26-Nov-01,Ulf Strömberg,Male,Afghanistan,TV4,Sweden,Television,Camera Operator,War,No,Foreign,Criminal Group,Murder,Yes,No,No,"No
"
Motive Confirmed,19-Nov-01,Harry Burton,Male,Afghanistan,Reuters Television,Australia,Television,Camera Operator,War,No,Foreign,Paramilitary Group,Murder,No,Yes,No,"No
"
Motive Confirmed,19-Nov-01,Azizullah Haidari,Male,Afghanistan,Reuters,Afghanistan,Print,Photographer,War,No,Local,Paramilitary Group,Murder,No,Yes,No,"No
"
Motive Confirmed,19-Nov-01,Julio Fuentes,Male,Afghanistan,El Mundo,Spain,Print,Print Reporter,War,No,Foreign,Paramilitary Group,Murder,No,Yes,No,"No
"
Motive Confirmed,19-Nov-01,Maria Grazia Cutuli,Female,Afghanistan,Corriere della Serra,Italy,Print,Print Reporter,War,No,Foreign,Paramilitary Group,Murder,No,Yes,No,"No
"
Motive Confirmed,11-Nov-01,Pierre Billaud,Male,Afghanistan,Radio Télévision Luxembourg,Belgium,Radio,Broadcast,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,11-Nov-01,Volker Handloik,Male,Afghanistan,freelance reporter,Germany,Print,Print Reporter,War,Yes,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,11-Nov-01,Johanne Sutton,Female,Afghanistan,Radio France Internationale,France,Radio,Broadcast,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,5-Oct-01,Robert Stevens,Male,USA,The Sun,United States,Print,Editor,Culture,No,Local,Local Residents,Murder,No,No,No,"No
"
Motive Confirmed,28-Sep-01,Martin O'Hagan,Male,UK,Sunday World,United Kingdom,Print,Print Reporter,"Corruption, Crime, War",No,Foreign,Paramilitary Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,18-Sep-01,Eduard Markevich,Male,Russia,Novy Reft,Russia,Print,Editor,"Corruption, Politics",No,Local,Government Officials,Murder,Yes,No,Yes,"No
"
Motive Confirmed,11-Sep-01,William Biggart,Male,USA,freelance,United States,Print,Photographer,Crime,Yes,Foreign,Political Group,Dangerous Assignment,,No,No,"No
"
Motive Confirmed,5-Sep-01,Jorge Mynor Alegría Armendáriz,Male,Guatemala,Radio Amatique,Guatemala,Radio,Broadcast,Corruption,No,Local,Government Officials,Murder,Yes,No,Yes,"No
"
Motive Confirmed,5-Sep-01,Marc Brunereau,Male,Afghanistan,freelance,France,Print,Print Reporter,War,Yes,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,31-Jul-01,Muhammad al-Bishawi,Male,Israel and the Occupied Palestinian Territory,"Najah Press Office, IslamOnline",Palestinian Territory,Internet,Print Reporter,Politics,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,30-Jul-01,Moolchand Yadav,Male,India,Freelance,India,Print,Print Reporter,"Business, Corruption",Yes,Local,Criminal Group,Murder,Yes,No,No,"No
"
Motive Confirmed,29-Jul-01,Juan Carlos Encinas,Male,Bolivia,Freelancer,Bolivia,Print,Print Reporter,Human Rights,Yes,Local,Political Group,Dangerous Assignment,,No,No,"No
"
Motive Confirmed,26-Jul-01,Georgy Sanaya,Male,Georgia,Rustavi-2,Georgia,Television,Broadcast,"Corruption, Politics",No,Local,Criminal Group,Murder,Partial,No,No,"No
"
Motive Confirmed,8-Jul-01,Jorge Enrique Urbano Sánchez,Male,Colombia,Mar Estéreo,Colombia,Radio,Broadcast,Crime,No,Local,Criminal Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,7-Jul-01,Igor Aleksandrov,Male,Ukraine,Tor,Ukraine,Television,Producer,"Corruption, Crime",No,Local,Government Officials,Murder,Yes,No,No,"No
"
Motive Confirmed,7-Jul-01,Parmenio Medina Pérez,Male,Costa Rica,"\La Patada\""""",Costa Rica,Radio,Producer,Corruption,No,Local,Unknown Fire,Murder,No,No,Yes,"No
"
Motive Confirmed,6-Jul-01,José Duviel Vásquez Arias,Male,Colombia,La Voz de la Selva,Colombia,Radio,Broadcast,Corruption,No,Local,Paramilitary Group,Murder,Yes,No,Yes,"No
"
