State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
Rhode Island,1973,0.4,0.5,0.8,5.4,0.4,0.9
Montana,1973,0.1,0.2,0.3,4.3,12.4,0.7
Wisconsin,1973,0.9,2.1,3.0,27,6.5,4.5
West Virginia,1973,0.8,0.4,1.2,9.2,3.8,1.8
Washington,1973,1.1,4.0,5.1,23.3,8.0,3.6
Virginia,1973,0.4,2.5,2.9,29.5,7.1,4.8
Vermont,1973,0.4,0.1,0.5,2.5,2.6,0.5
Utah,1973,0.1,0.4,0.5,6.5,9.5,1.2
All states combined,1973,59.0,129.0,188.0,"1,425.40",5.6,210.0
Texas,1973,1.6,8.0,9.6,73.8,9.3,12.0
Tennessee,1973,0.6,2.6,3.3,23.2,8.0,4.1
South Dakota,1973,0.0,0.1,0.1,4,23.2,0.7
South Carolina,1973,0.6,0.8,1.4,13.8,9.7,2.7
Missouri,1973,0.2,2.5,2.7,29.3,5.1,4.7
Nebraska,1973,0.1,2.0,2.1,10,11.3,1.5
Oregon,1973,1.1,0.9,2.0,14.2,10.0,2.2
Oklahoma,1973,0.8,1.0,1.8,14.5,7.8,2.7
Ohio,1973,2.2,5.0,7.3,69.8,5.2,10.7
North Dakota,1973,0.1,0.2,0.3,4.4,35.6,0.6
North Carolina,1973,0.5,1.5,2.0,31.8,7.5,5.3
New York,1973,11.8,21.8,33.6,136.4,1.6,18.0
New Mexico,1973,0.1,0.3,0.5,6.2,8.5,1.1
New Jersey,1973,2.8,4.3,7.1,49.3,3.0,7.2
New Hampshire,1973,0.2,0.3,0.5,4.2,9.1,0.8
Nevada,1973,0.1,0.5,0.5,4.5,7.6,0.6
Pennsylvania,1973,4.6,7.2,11.8,71.9,4.2,11.8
Oklahoma,1974,0.8,1.3,2.1,16.2,2.7,2.7
Ohio,1974,2.4,5.1,7.5,74.2,-2.5,10.7
North Dakota,1974,0.1,0.2,0.3,4.5,-6.1,0.6
North Carolina,1974,0.5,1.6,2.1,33.6,-2.9,5.4
Alabama,1974,0.9,2.0,2.8,19.5,2.4,3.6
New Mexico,1974,0.2,0.4,0.6,7.1,5.5,1.1
New Jersey,1974,3.6,4.7,8.3,53,-1.4,7.2
New Hampshire,1974,0.2,0.3,0.5,4.5,-1.7,0.8
Nevada,1974,0.1,0.5,0.6,5,0.6,0.6
Oregon,1974,1.3,1.0,2.3,15.4,-0.2,2.3
New York,1974,13.4,24.1,37.5,145.4,-2.2,18.0
Pennsylvania,1974,5.1,9.1,14.2,78.2,-0.1,11.8
Utah,1974,0.1,0.4,0.5,7.3,4.2,1.2
South Carolina,1974,0.9,0.9,1.8,15.3,2.1,2.8
South Dakota,1974,0.0,0.1,0.1,4,-8.1,0.7
Tennessee,1974,0.7,3.0,3.7,25.1,-0.5,4.2
Texas,1974,1.8,9.2,11.0,85.4,6.1,12.3
All states combined,1974,65.0,141.0,206.0,"1,545.20",-0.5,212.3
Vermont,1974,0.4,0.2,0.6,2.6,-4.8,0.5
Virginia,1974,0.6,2.8,3.4,32.4,1.0,4.9
Washington,1974,1.2,4.2,5.4,26.2,3.1,3.7
West Virginia,1974,0.9,0.5,1.4,10.7,6.7,1.8
Wisconsin,1974,0.9,2.1,3.1,28.7,-2.6,4.5
Nebraska,1974,0.1,2.1,2.2,10.4,-3.8,1.5
Rhode Island,1974,0.4,0.4,0.8,5.6,-5.2,0.9
Wyoming,1974,0.1,0.3,0.3,3.5,12.0,0.4
Montana,1974,0.1,0.3,0.4,4.7,-1.5,0.7
Mississippi,1974,0.6,0.9,1.5,11.3,-2.0,2.3
Missouri,1974,0.2,2.5,2.8,30.5,-4.5,4.8
Alaska,1974,0.6,0.5,1.0,4,20.7,0.3
Arizona,1974,0.1,1.6,1.7,14.6,0.6,2.1
Arkansas,1974,0.1,0.9,1.0,10.9,0.8,2.1
California,1974,6.2,13.1,19.3,161.8,0.8,21.4
Colorado,1974,0.1,1.6,1.8,17.9,1.6,2.5
Connecticut,1974,2.6,1.8,4.4,22.5,-0.8,3.1
District of Columbia,1974,0.0,1.9,1.9,11.4,0.8,0.7
Florida,1974,1.5,4.6,6.0,52.1,1.8,7.8
Georgia,1974,1.1,2.5,3.6,30.4,-1.3,4.9
Hawaii,1974,1.1,0.3,1.4,7.1,3.2,0.8
Delaware,1974,0.6,0.3,0.9,4.7,-3.8,0.6
Illinois,1974,2.3,6.4,8.8,88.1,-0.6,11.2
Idaho,1974,0.0,0.2,0.2,5.2,6.2,0.8
Michigan,1974,1.4,6.6,8.1,63,-8.1,9.0
Massachusetts,1974,3.2,3.5,6.7,39.3,-2.3,5.7
Maryland,1974,1.8,2.9,4.7,27.4,0.0,4.0
Maine,1974,0.4,0.3,0.7,5.6,-1.2,1.0
Minnesota,1974,0.8,3.1,3.8,27.7,-2.3,3.9
Kentucky,1974,1.9,1.8,3.7,21.2,2.8,3.4
Kansas,1974,0.2,1.4,1.6,15.1,-1.3,2.3
Iowa,1974,0.1,1.1,1.2,19.3,-4.1,2.9
Indiana,1974,0.6,2.0,2.7,35.6,-3.8,5.3
Louisiana,1974,1.2,2.6,3.9,26.9,8.5,3.9
Pennsylvania,1975,5.4,9.3,14.6,84.1,-1.6,11.8
New Hampshire,1975,0.2,0.4,0.6,4.8,-0.9,0.8
New Jersey,1975,3.9,5.0,8.8,56.1,-3.2,7.3
New Mexico,1975,0.2,0.5,0.6,8.1,4.1,1.2
New York,1975,14.6,25.1,39.8,155.3,-2.3,17.9
North Carolina,1975,0.6,1.7,2.3,36,-2.0,5.5
North Dakota,1975,0.1,0.2,0.3,4.9,-1.1,0.6
Ohio,1975,2.7,5.5,8.1,78.1,-3.6,10.7
Oklahoma,1975,0.9,1.3,2.3,18.2,2.6,2.8
Oregon,1975,1.7,1.2,2.9,16.8,-0.2,2.3
Rhode Island,1975,0.5,0.5,0.9,6,-1.9,0.9
Nevada,1975,0.1,0.5,0.6,5.5,1.9,0.6
South Dakota,1975,0.1,0.1,0.2,4.4,1.5,0.7
Tennessee,1975,0.8,3.0,3.8,26.6,-2.9,4.2
Texas,1975,1.9,9.3,11.2,98.8,5.9,12.6
All states combined,1975,72.0,148.0,220.0,"1,684.90",-0.2,214.6
Utah,1975,0.1,0.5,0.5,8.2,2.0,1.2
Vermont,1975,0.5,0.2,0.6,2.8,-0.3,0.5
Virginia,1975,0.7,3.0,3.7,35.1,-1.0,5.0
Washington,1975,1.3,5.1,6.4,29.3,2.1,3.8
West Virginia,1975,1.1,0.5,1.6,12,2.6,1.8
Wisconsin,1975,1.0,2.1,3.2,32.3,3.0,4.6
Wyoming,1975,0.1,0.3,0.4,4,5.0,0.4
South Carolina,1975,0.9,1.0,1.9,16,-4.2,2.8
Nebraska,1975,0.1,2.3,2.3,11.9,4.1,1.5
Alabama,1975,0.9,1.9,2.8,21.3,0.4,3.7
Missouri,1975,0.3,2.5,2.8,33,-0.9,4.8
Montana,1975,0.1,0.3,0.4,5.2,2.5,0.7
Arizona,1975,0.1,2.0,2.1,15.3,-4.3,2.2
Arkansas,1975,0.1,1.0,1.1,11.9,0.6,2.1
California,1975,6.5,13.6,20.1,178.4,0.9,21.7
Colorado,1975,0.1,1.8,1.9,20.2,3.4,2.5
Connecticut,1975,2.9,1.9,4.8,24,-2.5,3.1
Delaware,1975,0.6,0.4,1.0,5,-2.9,0.6
District of Columbia,1975,0.0,2.3,2.3,12.7,1.8,0.7
Florida,1975,1.6,5.0,6.6,55.3,-2.9,8.1
Georgia,1975,1.1,2.6,3.8,32,-3.6,5.0
Hawaii,1975,1.2,0.3,1.5,8.2,4.7,0.9
Idaho,1975,0.0,0.2,0.3,5.8,3.0,0.8
Alaska,1975,0.7,0.5,1.2,6.2,42.3,0.3
Indiana,1975,0.6,2.0,2.7,37.7,-3.2,5.3
Iowa,1975,0.1,1.2,1.3,22,4.1,2.9
Kansas,1975,0.3,1.5,1.8,16.9,2.4,2.3
Kentucky,1975,2.0,1.9,3.9,22.8,-1.4,3.4
Louisiana,1975,1.2,2.8,4.0,30.7,4.4,3.9
Maine,1975,0.5,0.3,0.8,6,-2.1,1.1
Maryland,1975,2.1,3.0,5.1,29.6,-1.1,4.1
Massachusetts,1975,3.9,3.8,7.7,41.9,-2.4,5.7
Michigan,1975,1.7,6.8,8.5,67,-2.7,9.1
Minnesota,1975,0.9,3.3,4.2,29.7,-1.9,3.9
Mississippi,1975,0.6,0.9,1.5,12.3,-0.3,2.4
Illinois,1975,2.8,6.8,9.6,95.9,-0.4,11.3
Kansas,1976,0.4,1.7,2.1,19,6.6,2.3
Kentucky,1976,2.0,2.1,4.1,26,8.2,3.5
Louisiana,1976,1.5,2.9,4.3,34.4,6.3,4.0
Mississippi,1976,0.8,1.0,1.8,14.6,12.2,2.4
Maryland,1976,2.5,3.3,5.8,32.6,4.4,4.1
Massachusetts,1976,5.0,3.8,8.8,45.5,2.9,5.7
Michigan,1976,1.9,6.9,8.8,78.8,11.4,9.1
Minnesota,1976,1.0,3.8,4.8,32.8,4.9,4.0
Maine,1976,0.5,0.4,1.0,7,10.2,1.1
Iowa,1976,0.1,1.2,1.3,24.4,5.3,2.9
Florida,1976,1.7,5.4,7.1,58.7,0.7,8.4
Illinois,1976,3.4,7.1,10.5,104.8,3.6,11.3
Idaho,1976,0.0,0.2,0.3,6.6,7.1,0.8
Hawaii,1976,1.3,0.3,1.6,8.5,-1.1,0.9
Georgia,1976,1.3,2.7,4.0,36.4,7.9,5.1
District of Columbia,1976,0.0,2.4,2.4,13.9,4.0,0.7
Delaware,1976,0.7,0.4,1.1,5.5,3.2,0.6
Connecticut,1976,3.1,1.9,5.0,26.2,3.7,3.1
Colorado,1976,0.1,2.0,2.1,22.3,4.6,2.6
California,1976,6.5,13.9,20.4,197.3,4.9,22.1
Arkansas,1976,0.1,1.0,1.1,13.7,8.8,2.1
Missouri,1976,0.3,2.5,2.8,37.2,6.9,4.8
Indiana,1976,0.6,2.2,2.8,43.8,10.1,5.4
Montana,1976,0.1,0.4,0.5,6,9.6,0.7
Pennsylvania,1976,5.9,9.7,15.6,90.7,2.2,11.8
Nebraska,1976,0.1,2.5,2.6,13,4.1,1.5
Wyoming,1976,0.1,0.4,0.5,4.7,12.4,0.4
Wisconsin,1976,1.4,2.2,3.5,37,8.7,4.6
West Virginia,1976,1.2,0.6,1.8,13.2,4.9,1.9
Washington,1976,1.2,4.8,6.0,32.7,6.0,3.8
Virginia,1976,0.7,3.2,3.9,39.6,7.0,5.1
Vermont,1976,0.4,0.2,0.6,3.2,8.8,0.5
Utah,1976,0.2,0.5,0.7,9.3,7.7,1.3
All states combined,1976,85.0,156.0,241.0,"1,873.40",5.4,216.9
Texas,1976,2.1,10.0,12.1,113.8,9.1,12.9
Tennessee,1976,1.0,3.1,4.1,30.5,8.7,4.3
South Dakota,1976,0.1,0.1,0.2,4.6,0.1,0.7
South Carolina,1976,1.0,1.1,2.2,18.2,7.5,2.9
Rhode Island,1976,0.5,0.5,1.0,6.5,3.1,0.9
Oregon,1976,2.0,1.3,3.4,19.8,11.3,2.4
Oklahoma,1976,0.9,1.3,2.3,20.8,8.7,2.8
Ohio,1976,3.0,5.5,8.5,87.4,6.0,10.7
North Dakota,1976,0.1,0.3,0.4,5.1,-1.6,0.6
North Carolina,1976,0.7,1.9,2.6,40.5,6.5,5.5
New York,1976,20.5,25.6,46.0,163.3,-0.3,17.8
New Mexico,1976,0.2,0.6,0.8,9.3,8.3,1.2
New Jersey,1976,4.0,5.0,9.0,60.5,2.3,7.3
New Hampshire,1976,0.3,0.4,0.7,5.5,7.9,0.8
Nevada,1976,0.1,0.6,0.7,6.3,7.4,0.7
Arizona,1976,0.1,2.3,2.4,17,5.2,2.3
Alaska,1976,0.8,0.6,1.4,7.5,13.8,0.4
Alabama,1976,1.0,2.0,3.0,24.3,8.0,3.7
Minnesota,1977,1.2,3.8,5.1,36.8,5.6,4.0
Michigan,1977,2.0,6.9,8.8,89.3,6.8,9.1
Massachusetts,1977,5.2,3.9,9.1,50.7,5.0,5.7
Maryland,1977,3.1,3.3,6.3,35.6,2.6,4.1
Maine,1977,0.6,0.5,1.1,7.6,3.3,1.1
Louisiana,1977,1.8,2.9,4.6,39.7,8.5,4.0
Kentucky,1977,2.0,2.7,4.8,29.2,5.5,3.5
Kansas,1977,0.4,1.8,2.2,20.5,2.0,2.3
Iowa,1977,0.1,1.4,1.5,27,4.1,2.9
Indiana,1977,0.6,2.3,2.9,47.9,3.0,5.4
Illinois,1977,4.1,7.7,11.7,115.1,3.4,11.3
Wyoming,1977,0.1,0.4,0.5,5.5,10.5,0.4
Idaho,1977,0.1,0.3,0.3,7.2,2.9,0.9
Georgia,1977,1.3,3.3,4.6,40.8,5.4,5.2
Florida,1977,2.0,6.0,8.0,65.3,4.6,8.7
District of Columbia,1977,0.0,2.5,2.5,15.6,5.2,0.7
Delaware,1977,0.7,0.4,1.2,6.1,4.2,0.6
Connecticut,1977,3.2,1.9,5.1,29.6,6.2,3.1
Colorado,1977,0.2,2.2,2.3,25.4,7.6,2.7
California,1977,6.7,14.2,21.0,229.6,9.5,22.5
Arkansas,1977,0.1,1.0,1.2,15.2,4.3,2.2
Arizona,1977,0.1,2.8,2.9,19.6,8.8,2.4
Alaska,1977,0.9,1.4,2.3,7.5,-4.9,0.4
Hawaii,1977,1.5,0.3,1.8,9.4,4.3,0.9
Alabama,1977,1.0,2.3,3.3,26.7,3.4,3.8
Mississippi,1977,0.8,1.1,1.9,16,3.2,2.4
Montana,1977,0.1,0.4,0.5,6.4,-0.9,0.8
Washington,1977,1.4,6.9,8.3,36.8,5.9,3.9
Virginia,1977,0.9,3.5,4.4,43.2,2.8,5.1
Vermont,1977,0.5,0.2,0.6,3.3,-2.2,0.5
Utah,1977,0.1,0.5,0.7,10.4,5.1,1.3
All states combined,1977,90.0,169.0,259.0,"2,081.80",4.6,219.3
Texas,1977,2.1,12.1,14.2,130.4,7.9,13.2
Tennessee,1977,1.2,3.5,4.7,33.6,3.5,4.4
South Dakota,1977,0.2,0.1,0.4,5.1,3.7,0.7
South Carolina,1977,1.3,1.0,2.4,20.1,4.1,3.0
Rhode Island,1977,0.6,0.5,1.1,7.2,4.5,0.9
Missouri,1977,0.4,2.7,3.1,41.2,4.1,4.8
Pennsylvania,1977,6.4,10.6,17.0,99,2.7,11.8
Oklahoma,1977,0.9,1.3,2.3,24,8.6,2.9
Ohio,1977,3.2,5.8,9.0,97,4.5,10.8
North Dakota,1977,0.1,0.4,0.4,5.2,-2.3,0.6
North Carolina,1977,0.8,1.9,2.7,43.8,2.0,5.6
New York,1977,20.0,26.4,46.4,179.9,3.7,17.8
New Mexico,1977,0.2,0.7,0.9,10.1,2.8,1.2
New Jersey,1977,4.1,5.4,9.4,65.8,2.5,7.3
New Hampshire,1977,0.4,0.4,0.7,6.3,7.6,0.9
Nevada,1977,0.1,0.6,0.7,7.4,11.5,0.7
Nebraska,1977,0.1,3.1,3.1,13.9,0.2,1.5
Oregon,1977,2.4,1.4,3.9,22,5.1,2.5
West Virginia,1977,1.3,0.4,1.8,14.4,2.6,1.9
Wisconsin,1977,1.7,2.3,4.0,40.7,3.4,4.6
Washington,1978,1.4,8.4,9.8,42.7,8.2,4.0
Michigan,1978,2.2,7.2,9.3,99.3,3.9,9.2
Massachusetts,1978,5.1,3.8,8.9,56.9,4.8,5.7
Maryland,1978,3.8,3.6,7.4,39.5,3.9,4.2
Maine,1978,0.7,0.5,1.2,8.4,3.2,1.1
Louisiana,1978,2.0,3.2,5.2,45.2,6.5,4.1
Kentucky,1978,2.6,2.7,5.3,32.7,4.7,3.6
Kansas,1978,0.4,2.5,2.9,22.8,3.8,2.3
Iowa,1978,0.2,1.3,1.5,30.8,6.4,2.9
Indiana,1978,0.6,2.5,3.1,53.7,4.8,5.4
Illinois,1978,5.1,7.7,12.8,128.1,4.0,11.4
Minnesota,1978,1.8,3.8,5.5,41.6,5.6,4.0
Idaho,1978,0.1,0.2,0.4,8.5,9.6,0.9
Georgia,1978,1.3,3.9,5.2,46.2,5.7,5.3
Florida,1978,2.3,6.9,9.3,75.7,8.3,9.1
District of Columbia,1978,0.0,2.6,2.6,17,1.7,0.7
Delaware,1978,0.8,0.4,1.2,6.7,4.1,0.6
Connecticut,1978,3.3,1.9,5.2,33.2,4.9,3.1
Colorado,1978,0.3,2.2,2.5,29.4,8.0,2.7
California,1978,7.1,13.5,20.6,262.8,6.9,22.9
Arkansas,1978,0.2,1.1,1.3,17.5,7.5,2.2
Arizona,1978,0.1,3.4,3.5,23.3,10.9,2.5
Alaska,1978,1.1,2.1,3.2,9.1,13.1,0.4
Hawaii,1978,1.7,0.4,2.1,10.5,4.0,0.9
Mississippi,1978,1.3,1.0,2.3,17.8,4.0,2.5
Missouri,1978,0.6,2.7,3.3,46.2,4.8,4.9
Montana,1978,0.1,0.5,0.6,7.4,9.5,0.8
Wisconsin,1978,2.0,2.4,4.3,45.4,4.3,4.6
Wyoming,1978,0.1,0.5,0.6,6.7,12.8,0.4
Virginia,1978,1.3,3.2,4.5,48.4,4.6,5.2
Vermont,1978,0.5,0.2,0.6,3.9,10.0,0.5
Utah,1978,0.3,0.6,0.9,12,8.0,1.4
All states combined,1978,103.0,178.0,281.0,"2,351.60",5.5,221.7
Texas,1978,2.1,13.2,15.4,149.1,6.8,13.6
Tennessee,1978,1.4,3.9,5.3,38.2,6.2,4.4
South Dakota,1978,0.4,0.3,0.6,6,9.0,0.7
South Carolina,1978,1.8,1.4,3.2,23,6.8,3.0
Rhode Island,1978,0.9,0.5,1.4,8,2.8,0.9
Pennsylvania,1978,6.5,9.7,16.2,110.1,3.8,11.9
Oregon,1978,3.1,1.7,4.8,25.4,7.6,2.5
Oklahoma,1978,1.1,1.5,2.6,27.1,5.4,2.9
Ohio,1978,3.4,5.9,9.3,107.6,3.6,10.8
North Dakota,1978,0.1,0.6,0.7,6.4,14.3,0.6
North Carolina,1978,0.8,2.0,2.7,49.9,6.3,5.7
New York,1978,22.4,26.2,48.6,200.1,3.9,17.7
New Mexico,1978,0.3,0.9,1.3,11.5,6.7,1.2
New Jersey,1978,4.7,5.2,9.9,72.9,3.5,7.3
New Hampshire,1978,0.4,0.4,0.8,7.4,9.6,0.9
Nevada,1978,0.2,0.6,0.9,8.9,12.5,0.7
Nebraska,1978,0.1,3.7,3.7,15.9,6.7,1.6
West Virginia,1978,1.4,0.6,2.0,16,3.3,1.9
Alabama,1978,1.0,2.7,3.7,30.5,6.8,3.8
Wyoming,1979,0.2,0.6,0.8,8.1,11.3,0.5
Washington,1979,1.5,9.0,10.5,48.7,5.4,4.1
Mississippi,1979,0.8,1.2,2.0,20,4.1,2.5
Missouri,1979,0.7,2.7,3.4,50.6,1.2,4.9
Montana,1979,0.1,0.5,0.7,8.2,1.4,0.8
Nebraska,1979,0.1,4.2,4.3,17.4,1.5,1.6
Nevada,1979,0.4,0.6,1.0,10.3,6.4,0.8
New Hampshire,1979,0.7,0.4,1.1,8.4,4.4,0.9
New Jersey,1979,5.4,5.8,11.2,81.1,2.6,7.3
New Mexico,1979,0.5,1.1,1.6,13.1,5.2,1.3
New York,1979,23.0,23.7,46.7,217.7,0.5,17.6
North Carolina,1979,1.1,2.4,3.5,54.5,0.9,5.8
North Dakota,1979,0.1,0.5,0.6,7.2,3.9,0.6
Ohio,1979,3.7,6.1,9.8,117.1,0.6,10.8
Oklahoma,1979,1.5,1.6,3.1,31.5,7.5,3.0
Oregon,1979,3.8,1.8,5.7,28.4,3.2,2.6
Pennsylvania,1979,6.4,13.4,19.8,120.5,1.1,11.9
Rhode Island,1979,1.2,0.5,1.7,8.8,2.4,0.9
South Carolina,1979,1.6,1.3,2.9,25.5,2.5,3.1
South Dakota,1979,0.6,0.3,0.9,6.7,3.9,0.7
Tennessee,1979,1.4,3.7,5.1,42.2,2.0,4.5
Texas,1979,2.3,15.4,17.7,171.6,6.3,13.9
All states combined,1979,112.0,192.0,304.0,"2,627.30",3.2,224.1
Minnesota,1979,1.9,4.4,6.3,46.9,3.9,4.0
West Virginia,1979,1.6,1.2,2.8,17.4,0.8,1.9
Michigan,1979,2.5,7.7,10.2,105.4,-2.0,9.2
Maryland,1979,3.7,3.6,7.3,43.6,1.9,4.2
Virginia,1979,1.7,3.7,5.3,53.4,1.9,5.3
Alabama,1979,1.1,2.9,3.9,33.7,1.9,3.8
Alaska,1979,1.4,2.4,3.7,10.9,10.2,0.4
Arizona,1979,0.1,3.3,3.4,27.5,9.1,2.6
Arkansas,1979,0.2,1.1,1.4,19.1,0.9,2.2
California,1979,7.7,14.7,22.3,293.5,3.1,23.3
Colorado,1979,0.4,2.6,3.0,33.8,6.1,2.8
Connecticut,1979,3.6,1.9,5.5,36.9,2.4,3.1
Delaware,1979,0.9,0.4,1.3,7.3,0.0,0.6
District of Columbia,1979,0.0,2.7,2.7,18.4,0.3,0.6
Florida,1979,2.7,7.1,9.8,86.3,5.3,9.4
Georgia,1979,1.4,4.4,5.7,51.6,3.1,5.4
Hawaii,1979,1.7,0.3,2.0,11.9,4.3,0.9
Idaho,1979,0.2,0.3,0.5,9.3,1.5,0.9
Illinois,1979,5.7,7.9,13.6,139.3,0.4,11.4
Indiana,1979,0.6,2.9,3.5,57.9,-0.5,5.5
Iowa,1979,0.4,1.5,1.9,33.5,0.5,2.9
Kansas,1979,0.5,2.2,2.6,26.3,6.4,2.4
Kentucky,1979,2.8,4.0,6.8,35.8,1.3,3.6
Louisiana,1979,2.6,3.4,6.0,51.7,5.5,4.1
Maine,1979,0.7,0.6,1.3,9.3,2.0,1.1
Massachusetts,1979,5.4,4.4,9.8,63,2.2,5.7
Wisconsin,1979,2.2,3.0,5.2,50.1,1.9,4.7
Vermont,1979,0.5,0.1,0.7,4.4,3.0,0.5
Utah,1979,0.4,0.8,1.2,13.7,5.5,1.4
Nebraska,1980,0.2,4.4,4.6,18.3,-3.7,1.6
New Mexico,1980,0.7,1.2,1.9,15.7,9.8,1.3
New York,1980,23.6,22.9,46.5,235.7,-0.7,17.6
North Carolina,1980,1.3,3.2,4.4,58.8,-1.1,5.9
North Dakota,1980,0.2,0.6,0.8,7.6,-2.9,0.7
Ohio,1980,4.0,6.5,10.5,121.2,-5.1,10.8
Oklahoma,1980,1.5,1.8,3.4,37.6,9.3,3.0
Oregon,1980,4.9,2.1,7.0,30,-3.0,2.6
Pennsylvania,1980,6.3,14.0,20.4,127.2,-3.2,11.9
Rhode Island,1980,1.5,0.6,2.0,9.6,-0.2,0.9
South Carolina,1980,1.9,1.4,3.3,27.6,-0.7,3.1
South Dakota,1980,0.7,0.4,1.1,6.8,-7.7,0.7
Texas,1980,2.5,18.2,20.7,203.1,8.5,14.2
All states combined,1980,122.0,214.0,336.0,"2,857.30",-0.3,226.5
Utah,1980,0.5,0.9,1.4,15.3,2.4,1.5
Vermont,1980,0.7,0.1,0.8,4.9,1.2,0.5
Virginia,1980,1.9,3.9,5.9,58.7,0.8,5.3
Washington,1980,1.6,10.0,11.6,52.7,-0.8,4.1
West Virginia,1980,1.8,1.4,3.2,18.4,-3.1,1.9
Wisconsin,1980,2.4,3.2,5.7,52.9,-3.2,4.7
Wyoming,1980,0.4,0.8,1.2,10.4,18.6,0.5
Tennessee,1980,1.4,4.6,6.0,45,-2.2,4.6
New Jersey,1980,6.5,6.1,12.6,88.3,0.0,7.4
New Hampshire,1980,0.9,0.4,1.3,9.3,1.7,0.9
Nevada,1980,0.5,0.8,1.3,11.6,3.6,0.8
Connecticut,1980,3.9,1.9,5.8,40.8,1.5,3.1
Delaware,1980,1.0,0.6,1.6,7.9,-0.8,0.6
District of Columbia,1980,0.0,2.7,2.7,19.9,-1.1,0.6
Florida,1980,2.6,7.8,10.5,97.9,4.1,9.7
Georgia,1980,1.4,4.8,6.2,56.2,0.0,5.5
Hawaii,1980,1.9,0.3,2.2,13.4,3.4,1.0
Idaho,1980,0.3,0.3,0.7,9.9,-2.1,0.9
Illinois,1980,6.3,9.0,15.3,145.3,-4.3,11.4
Indiana,1980,0.6,3.3,3.9,58.9,-6.8,5.5
Iowa,1980,0.4,1.9,2.3,34.6,-5.3,2.9
Kansas,1980,0.4,2.8,3.3,28.3,-1.3,2.4
Kentucky,1980,3.0,4.4,7.4,37,-5.3,3.7
Louisiana,1980,3.0,4.1,7.1,63.9,13.5,4.2
Maine,1980,0.7,0.6,1.3,10.3,0.8,1.1
Maryland,1980,3.5,4.0,7.5,47.5,-0.1,4.2
Massachusetts,1980,5.8,4.5,10.2,69.7,1.5,5.7
Michigan,1980,2.9,8.2,11.1,104.1,-9.4,9.3
Minnesota,1980,2.1,6.6,8.7,50.2,-1.7,4.1
Mississippi,1980,0.8,1.3,2.1,21.4,-2.1,2.5
Missouri,1980,1.0,3.2,4.2,52.4,-5.0,4.9
Montana,1980,0.3,0.5,0.9,8.9,0.2,0.8
Arkansas,1980,0.4,1.7,2.0,20.3,-2.6,2.3
Arizona,1980,0.1,4.7,4.8,30.8,2.6,2.7
Alaska,1980,1.5,2.5,4.0,15.3,28.7,0.4
Alabama,1980,1.0,3.0,4.1,36.1,-1.7,3.9
Colorado,1980,0.5,3.3,3.8,38.3,4.1,2.9
California,1980,8.4,15.8,24.2,328,2.5,23.7
Vermont,1981,0.7,0.2,0.9,5.4,2.3,0.5
Massachusetts,1981,6.3,4.5,10.7,77.8,2.0,5.8
Maryland,1981,4.0,4.5,8.5,53.1,2.1,4.3
Maine,1981,0.8,0.6,1.4,11.3,0.2,1.1
Louisiana,1981,3.5,5.2,8.7,77.2,10.3,4.2
Kentucky,1981,3.0,4.4,7.5,41.1,1.4,3.7
Kansas,1981,0.4,3.6,4.0,32,3.2,2.4
Iowa,1981,0.4,2.0,2.4,38.3,1.1,2.9
Indiana,1981,1.0,3.4,4.4,64.7,0.4,5.5
Illinois,1981,6.9,9.6,16.5,159.6,0.4,11.4
Michigan,1981,3.5,8.2,11.7,114.7,0.6,9.3
Idaho,1981,0.4,0.4,0.8,10.7,-1.6,1.0
Georgia,1981,1.4,5.5,6.9,63.8,3.6,5.6
Florida,1981,2.8,9.8,12.6,112.2,4.7,10.0
District of Columbia,1981,0.0,2.7,2.7,21.7,0.0,0.6
Delaware,1981,1.1,0.7,1.8,8.8,2.2,0.6
Connecticut,1981,4.4,2.0,6.4,45.6,2.3,3.1
Colorado,1981,0.7,3.7,4.5,44,4.8,2.9
California,1981,9.0,17.3,26.3,368.8,2.7,24.2
Arkansas,1981,0.5,1.9,2.3,22.9,3.1,2.3
Arizona,1981,0.1,5.2,5.3,34.3,1.8,2.8
Hawaii,1981,1.9,0.3,2.1,14.6,0.0,1.0
Virginia,1981,2.1,4.1,6.3,66.2,3.1,5.4
Minnesota,1981,2.4,5.5,7.9,55.4,0.8,4.1
Washington,1981,1.8,11.4,13.2,58.9,2.2,4.2
Utah,1981,0.6,1.6,2.2,17.3,3.3,1.5
All states combined,1981,135.0,229.0,364.0,"3,207.00",2.5,228.7
Texas,1981,2.7,19.9,22.5,245.2,10.3,14.5
Tennessee,1981,1.5,5.1,6.5,50.3,2.1,4.6
South Dakota,1981,0.7,0.4,1.1,7.7,3.5,0.7
South Carolina,1981,2.5,1.6,4.1,31,2.7,3.2
Rhode Island,1981,1.7,0.6,2.3,10.7,1.8,1.0
Pennsylvania,1981,6.3,13.1,19.4,138.6,-0.5,11.9
Oregon,1981,5.9,2.4,8.3,31.6,-3.8,2.7
Mississippi,1981,0.8,1.4,2.2,24,2.8,2.5
Oklahoma,1981,1.7,2.1,3.9,45.4,10.4,3.0
North Dakota,1981,0.2,0.6,0.8,10,18.9,0.7
North Carolina,1981,1.4,3.6,5.0,65.9,2.4,6.0
New York,1981,24.7,22.5,47.2,261.8,1.5,17.6
